id,name,type,description,prerequisites,prerequisite_feats,benefit,normal,special,source,fulltext,teamwork,critical,grit,style,performance,racial,companion_familiar,race_name,note,goal,completion_benefit,multiples,suggested_traits
15,Bleeding Critical,Combat,Your critical hits cause opponents to bleed profusely.,"Critical Focus, base attack bonus +11.",Critical Focus,"Whenever you score a critical hit with a slashing or piercing weapon, your opponent takes 2d6 points of bleed damage (see Appendix 2) each round on his turn, in addition to the damage dealt by the critical hit. Bleed damage can be stopped by a DC 15 Heal skill check or through any magical healing. The effects of this feat stack.",,You can only apply the effects of one critical feat to a given critical hit unless you possess Critical Mastery.,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Bleeding Critical (Combat, Critical)</p><div style=""clear: both;""></div></div><div><h5>Your critical hits cause opponents to bleed profusely.<h5><b>Prerequisites: </b>Critical Focus, base attack bonus +11.</h5><h5><b>Benefit: </b>Whenever you score a critical hit with a slashing or piercing weapon, your opponent takes 2d6 points of bleed damage (see Appendix 2) each round on his turn, in addition to the damage dealt by the critical hit. Bleed damage can be stopped by a DC 15 Heal skill check or through any magical healing. The effects of this feat stack.</h5><h5><b>Special: </b>You can only apply the effects of one critical feat to a given critical hit unless you possess Critical Mastery.</h5></div>",0,1,0,0,0,0,0,,,,,0,
16,Blind-Fight,Combat,You are skilled at attacking opponents that you cannot clearly perceive.,,,"In melee, every time you miss because of concealment (see Chapter 8), you can reroll your miss chance percentile roll one time to see if you actually hit. An invisible attacker gets no advantages related to hitting you in melee. That is, you don't lose your Dexterity bonus to Armor Class, and the attacker doesn't get the usual +2 bonus for being invisible. The invisible attacker's bonuses do still apply for ranged attacks, however. You do not need to make Acrobatics skill checks to move at full speed while blinded.","Regular attack roll modifiers for invisible attackers trying to hit you apply, and you lose your Dexterity bonus to AC. The speed reduction for darkness and poor visibility also applies.",The Blind-Fight feat is of no use against a character who is the subject of a blink spell.,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Blind-Fight (Combat)</p><div style=""clear: both;""></div></div><div><h5>You are skilled at attacking opponents that you cannot clearly perceive.<h5><b>Benefit: </b>In melee, every time you miss because of concealment (see Chapter 8), you can reroll your miss chance percentile roll one time to see if you actually hit. An invisible attacker gets no advantages related to hitting you in melee. That is, you don't lose your Dexterity bonus to Armor Class, and the attacker doesn't get the usual +2 bonus for being invisible. The invisible attacker's bonuses do still apply for ranged attacks, however. You do not need to make Acrobatics skill checks to move at full speed while blinded.</h5><h5><b>Normal: </b>Regular attack roll modifiers for invisible attackers trying to hit you apply, and you lose your Dexterity bonus to AC. The speed reduction for darkness and poor visibility also applies.</h5><h5><b>Special: </b>The Blind-Fight feat is of no use against a character who is the subject of a <i>blink</i> spell.</h5></div>",0,0,0,0,0,0,0,,,,,0,
17,Blinding Critical,Combat,Your critical hits blind your opponents.,"Critical Focus, base attack bonus +15.",Critical Focus,"Whenever you score a critical hit, your opponent is permanently blinded. A successful Fortitude save reduces this to dazzled for 1d4 rounds. The DC of this Fortitude save is equal to 10 + your base attack bonus. This feat has no effect on creatures that do not rely on eyes for sight or creatures with more than two eyes (although multiple critical hits might cause blindness, at the GM's discretion). Blindness can be cured by heal, regeneration, remove blindness, or similar abilities.",,You can only apply the effects of one critical feat to a given critical hit unless you possess Critical Mastery.,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Blinding Critical (Combat, Critical)</p><div style=""clear: both;""></div></div><div><h5>Your critical hits blind your opponents.<h5><b>Prerequisites: </b>Critical Focus, base attack bonus +15.</h5><h5><b>Benefit: </b>Whenever you score a critical hit, your opponent is permanently blinded. A successful Fortitude save reduces this to dazzled for 1d4 rounds. The DC of this Fortitude save is equal to 10 + your base attack bonus. This feat has no effect on creatures that do not rely on eyes for sight or creatures with more than two eyes (although multiple critical hits might cause blindness, at the GM's discretion). Blindness can be cured by <i>heal</i>, <i>regeneration</i>, <i>remove blindness</i>, or similar abilities.</h5><h5><b>Special: </b>You can only apply the effects of one critical feat to a given critical hit unless you possess Critical Mastery.</h5></div>",0,1,0,0,0,0,0,,,,,0,
18,Brew Potion,Item Creation,You can create magic potions.,Caster level 3rd.,,"You can create a potion of any 3rd-level or lower spell that you know and that targets one or more creatures or objects. Brewing a potion takes 2 hours if its base price is 250 gp or less, otherwise brewing a potion takes 1 day for each 1,000 gp in its base price. When you create a potion, you set the caster level, which must be sufficient to cast the spell in question and no higher than your own level. To brew a potion, you must use up raw materials costing one half this base price. See the magic item creation rules in Chapter 15 for more information. When you create a potion, you make any choices that you would normally make when casting the spell. Whoever drinks the potion is the target of the spell.",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Brew Potion (Item Creation)</p><div style=""clear: both;""></div></div><div><h5>You can create magic potions.<h5><b>Prerequisites: </b>Caster level 3rd.</h5><h5><b>Benefit: </b>You can create a potion of any 3rd-level or lower spell that you know and that targets one or more creatures or objects. Brewing a potion takes 2 hours if its base price is 250 gp or less, otherwise brewing a potion takes 1 day for each 1,000 gp in its base price. When you create a potion, you set the caster level, which must be sufficient to cast the spell in question and no higher than your own level. To brew a potion, you must use up raw materials costing one half this base price. See the magic item creation rules in Chapter 15 for more information. When you create a potion, you make any choices that you would normally make when casting the spell. Whoever drinks the potion is the target of the spell.</h5></div>",0,0,0,0,0,0,0,,,,,0,
19,Catch Off-Guard,Combat,Foes are surprised by your skilled use of unorthodox and improvised weapons.,,,You do not suffer any penalties for using an improvised melee weapon. Unarmed opponents are flat-footed against any attacks you make with an improvised melee weapon.,You take a -4 penalty on attack rolls made with an improvised weapon.,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Catch Off-Guard (Combat)</p><div style=""clear: both;""></div></div><div><h5>Foes are surprised by your skilled use of unorthodox and improvised weapons.<h5><b>Benefit: </b>You do not suffer any penalties for using an improvised melee weapon. Unarmed opponents are flat-footed against any attacks you make with an improvised melee weapon.</h5><h5><b>Normal: </b>You take a -4 penalty on attack rolls made with an improvised weapon.</h5></div>",0,0,0,0,0,0,0,,,,,0,
20,Channel Smite,Combat,You can channel your divine energy through a melee weapon you wield.,Channel energy class feature.,,"Before you make a melee attack roll, you can choose to spend one use of your channel energy ability as a swift action. If you channel positive energy and you hit an undead creature, that creature takes an amount of additional damage equal to the damage dealt by your channel positive energy ability. If you channel negative energy and you hit a living creature, that creature takes an amount of additional damage equal to the damage dealt by your channel negative energy ability. Your target can make a Will save, as normal, to halve this additional damage. If your attack misses, the channel energy ability is still expended with no effect.",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Channel Smite (Combat)</p><div style=""clear: both;""></div></div><div><h5>You can channel your divine energy through a melee weapon you wield.<h5><b>Prerequisites: </b>Channel energy class feature.</h5><h5><b>Benefit: </b>Before you make a melee attack roll, you can choose to spend one use of your channel energy ability as a swift action. If you channel positive energy and you hit an undead creature, that creature takes an amount of additional damage equal to the damage dealt by your channel positive energy ability. If you channel negative energy and you hit a living creature, that creature takes an amount of additional damage equal to the damage dealt by your channel negative energy ability. Your target can make a Will save, as normal, to halve this additional damage. If your attack misses, the channel energy ability is still expended with no effect.</h5></div>",0,0,0,0,0,0,0,,,,,0,
21,Cleave,Combat,You can strike two adjacent foes with a single swing.,"Str 13, Power Attack, base attack bonus +1.",Power Attack,"As a standard action, you can make a single attack at your full base attack bonus against a foe within reach. If you hit, you deal damage normally and can make an additional attack (using your full base attack bonus) against a foe that is adjacent to the first and also within reach. You can only make one additional attack per round with this feat. When you use this feat, you take a -2 penalty to your Armor Class until your next turn.",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Cleave (Combat)</p><div style=""clear: both;""></div></div><div><h5>You can strike two adjacent foes with a single swing.<h5><b>Prerequisites: </b>Str 13, Power Attack, base attack bonus +1.</h5><h5><b>Benefit: </b>As a standard action, you can make a single attack at your full base attack bonus against a foe within reach. If you hit, you deal damage normally and can make an additional attack (using your full base attack bonus) against a foe that is adjacent to the first and also within reach. You can only make one additional attack per round with this feat. When you use this feat, you take a -2 penalty to your Armor Class until your next turn.</h5></div>",0,0,0,0,0,0,0,,,,,0,
22,Combat Casting,General,You are adept at spellcasting when threatened or distracted.,,,You get a +4 bonus on concentration checks made to cast a spell or use a spell-like ability when casting on the defensive or while grappled.,,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Combat Casting</p><div style=""clear: both;""></div></div><div><h5>You are adept at spellcasting when threatened or distracted.<h5><b>Benefit: </b>You get a +4 bonus on concentration checks made to cast a spell or use a spell-like ability when casting on the defensive or while grappled.</h5></div>",0,0,0,0,0,0,0,,,,,0,
23,Combat Expertise,Combat,You can increase your defense at the expense of your accuracy.,Int 13.,,"You can choose to take a -1 penalty on melee attack rolls and combat maneuver checks to gain a +1 dodge bonus to your Armor Class. When your base attack bonus reaches +4, and every +4 thereafter, the penalty increases by -1 and the dodge bonus increases by +1. You can only choose to use this feat when you declare that you are making an attack or a full-attack action with a melee weapon. The effects of this feat last until your next turn.",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Combat Expertise (Combat)</p><div style=""clear: both;""></div></div><div><h5>You can increase your defense at the expense of your accuracy.<h5><b>Prerequisites: </b>Int 13.</h5><h5><b>Benefit: </b>You can choose to take a -1 penalty on melee attack rolls and combat maneuver checks to gain a +1 dodge bonus to your Armor Class. When your base attack bonus reaches +4, and every +4 thereafter, the penalty increases by -1 and the dodge bonus increases by +1. You can only choose to use this feat when you declare that you are making an attack or a full-attack action with a melee weapon. The effects of this feat last until your next turn.</h5></div>",0,0,0,0,0,0,0,,,,,0,
24,Combat Reflexes,Combat,You can make additional attacks of opportunity.,,,"You may make a number of additional attacks of opportunity per round equal to your Dexterity bonus. With this feat, you may also make attacks of opportunity while flat-footed.",A character without this feat can make only one attack of opportunity per round and can't make attacks of opportunity while flat-footed.,The Combat Reflexes feat does not allow a rogue to use her opportunist ability more than once per round.,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Combat Reflexes (Combat)</p><div style=""clear: both;""></div></div><div><h5>You can make additional attacks of opportunity.<h5><b>Benefit: </b>You may make a number of additional attacks of opportunity per round equal to your Dexterity bonus. With this feat, you may also make attacks of opportunity while flat-footed.</h5><h5><b>Normal: </b>A character without this feat can make only one attack of opportunity per round and can't make attacks of opportunity while flat-footed.</h5><h5><b>Special: </b>The Combat Reflexes feat does not allow a rogue to use her opportunist ability more than once per round.</h5></div>",0,0,0,0,0,0,0,,,,,0,
25,Command Undead,General,"Using foul powers of necromancy, you can command undead creatures, making them into your servants.",Channel negative energy class feature.,,"As a standard action, you can use one of your uses of channel negative energy to enslave undead within 30 feet. Undead receive a Will save to negate the effect. The DC for this Will save is equal to 10 + 1/2 your cleric level + your Charisma modifier. Undead that fail their saves fall under your control, obeying your commands to the best of their ability, as if under the effects of control undead. Intelligent undead receive a new saving throw each day to resist your command. You can control any number of undead, so long as their total Hit Dice do not exceed your cleric level. If you use channel energy in this way, it has no other effect (it does not heal or harm nearby creatures). If an undead creature is under the control of another creature, you must make an opposed Charisma check whenever your orders conf lict.",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Command Undead</p><div style=""clear: both;""></div></div><div><h5>Using foul powers of necromancy, you can command undead creatures, making them into your servants.<h5><b>Prerequisites: </b>Channel negative energy class feature.</h5><h5><b>Benefit: </b>As a standard action, you can use one of your uses of channel negative energy to enslave undead within 30 feet. Undead receive a Will save to negate the effect. The DC for this Will save is equal to 10 + 1/2 your cleric level + your Charisma modifier. Undead that fail their saves fall under your control, obeying your commands to the best of their ability, as if under the effects of <i>control undead</i>. Intelligent undead receive a new saving throw each day to resist your command. You can control any number of undead, so long as their total Hit Dice do not exceed your cleric level. If you use channel energy in this way, it has no other effect (it does not heal or harm nearby creatures). If an undead creature is under the control of another creature, you must make an opposed Charisma check whenever your orders conf lict.</h5></div>",0,0,0,0,0,0,0,,,,,0,
26,Craft Magic Arms and Armor,Item Creation,"You can create magic armor, shields, and weapons.",Caster level 5th.,,"You can create magic weapons, armor, or shields. Enhancing a weapon, suit of armor, or shield takes 1 day for each 1,000 gp in the price of its magical features. To enhance a weapon, suit of armor, or shield, you must use up raw materials costing half of this total price. See the magic item creation rules in Chapter 15 for more information. The weapon, armor, or shield to be enhanced must be a masterwork item that you provide. Its cost is not included in the above cost. You can also mend a broken or destroyed magic weapon, suit of armor, or shield if it is one that you could make. Doing so costs half the raw materials and half the time it would take to craft that item in the first place.",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Craft Magic Arms and Armor (Item Creation)</p><div style=""clear: both;""></div></div><div><h5>You can create magic armor, shields, and weapons.<h5><b>Prerequisites: </b>Caster level 5th.</h5><h5><b>Benefit: </b>You can create magic weapons, armor, or shields. Enhancing a weapon, suit of armor, or shield takes 1 day for each 1,000 gp in the price of its magical features. To enhance a weapon, suit of armor, or shield, you must use up raw materials costing half of this total price. See the magic item creation rules in Chapter 15 for more information. The weapon, armor, or shield to be enhanced must be a masterwork item that you provide. Its cost is not included in the above cost. You can also mend a broken or destroyed magic weapon, suit of armor, or shield if it is one that you could make. Doing so costs half the raw materials and half the time it would take to craft that item in the first place.</h5></div>",0,0,0,0,0,0,0,,,,,0,
27,Craft Rod,Item Creation,You can create magic rods.,Caster level 9th.,,"You can create magic rods. Crafting a rod takes 1 day for each 1,000 gp in its base price. To craft a rod, you must use up raw materials costing half of its base price. See the magic item creation rules in Chapter 15 for more information.",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Craft Rod (Item Creation)</p><div style=""clear: both;""></div></div><div><h5>You can create magic rods.<h5><b>Prerequisites: </b>Caster level 9th.</h5><h5><b>Benefit: </b>You can create magic rods. Crafting a rod takes 1 day for each 1,000 gp in its base price. To craft a rod, you must use up raw materials costing half of its base price. See the magic item creation rules in Chapter 15 for more information.</h5></div>",0,0,0,0,0,0,0,,,,,0,
28,Craft Wand,Item Creation,You can create magic wands.,Caster level 5th.,,"You can create a wand of any 4th-level or lower spell that you know. Crafting a wand takes 1 day for each 1,000 gp in its base price. To craft a wand, you must use up raw materials costing half of this base price. A newly created wand has 50 charges. See the magic item creation rules in Chapter 15 for more information.",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Craft Wand (Item Creation)</p><div style=""clear: both;""></div></div><div><h5>You can create magic wands.<h5><b>Prerequisites: </b>Caster level 5th.</h5><h5><b>Benefit: </b>You can create a wand of any 4th-level or lower spell that you know. Crafting a wand takes 1 day for each 1,000 gp in its base price. To craft a wand, you must use up raw materials costing half of this base price. A newly created wand has 50 charges. See the magic item creation rules in Chapter 15 for more information.</h5></div>",0,0,0,0,0,0,0,,,,,0,
29,Craft Staff,Item Creation,You can create magic staves.,Caster level 11th.,,"You can create any staff whose prerequisites you meet. Crafting a staff takes 1 day for each 1,000 gp in its base price. To craft a staff, you must use up raw materials costing half of its base price. A newly created staff has 10 charges. See the magic item creation rules in Chapter 15 for more information.",,,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Craft Staff (Item Creation)</p><div style=""clear: both;""></div></div><div><h5>You can create magic staves.<h5><b>Prerequisites: </b>Caster level 11th.</h5><h5><b>Benefit: </b>You can create any staff whose prerequisites you meet. Crafting a staff takes 1 day for each 1,000 gp in its base price. To craft a staff, you must use up raw materials costing half of its base price. A newly created staff has 10 charges. See the magic item creation rules in Chapter 15 for more information.</h5></div>",0,0,0,0,0,0,0,,,,,0,
