class,class_fr,name,name_fr,description,description_fr
cleric,Prêtre,Domains,Domaines,"A cleric's deity influences her alignment, what magic she can perform, her values, and how others see her. A cleric chooses two domains from among those belonging to her deity. A cleric can select an alignment domain (Chaos, Evil, Good, or Law) only if her alignment matches that domain. If a cleric is not devoted to a particular deity, she still selects two domains to represent her spiritual inclinations and abilities (subject to GM approval). The restriction on alignment domains still applies.Each domain grants a number of domain powers, dependent upon the level of the cleric, as well as a number of bonus spells. A cleric gains one domain spell slot for each level of cleric spell she can cast, from 1st on up. Each day, a cleric can prepare one of the spells from her two domains in that slot. If a domain spell is not on the cleric spell list, a cleric can prepare it only in her domain spell slot. Domain spells cannot be used to cast spells spontaneously.In addition, a cleric gains the listed powers from both of her domains, if she is of a high enough level. Unless otherwise noted, using a domain power is a standard action. Cleric domains are listed at the end of this class entry.","L’alignement du prêtre, ses capacités magiques, ses valeurs et la manière dont les autres le perçoivent dépendent de son dieu. Le prêtre peut choisir deux domaines parmi ceux qui sont associés à sa divinité. Il ne peut sélectionner un domaine lié à un alignement (Bien, Chaos, Loi ou Mal) que s’il correspond à son propre alignement. Si le prêtre ne sert pas un dieu, il peut quand même choisir deux domaines représentant ses penchants spirituels et ses capacités (sous réserve d’accord du MJ), la restriction sur les alignements reste d’application.
Chaque domaine offre un certain nombre de pouvoirs de domaine dépendant du niveau du prêtre ainsi que plusieurs sorts en bonus. Le prêtre gagne un emplacement de sort de domaine pour chaque niveau de sort auquel il a accès (sauf le niveau 0). Chaque jour, le prêtre peut utiliser cet emplacement pour préparer un sort provenant de ses domaines. Si ce sort de domaine ne figure pas sur la liste des sorts de prêtres, le prêtre ne peut le préparer que dans un emplacement de sort de domaine. Les sorts de domaine ne peuvent pas être utilisés pour les incantations spontanées.
Le prêtre reçoit également les pouvoirs indiqués dans chacun de ses domaines s’il a atteint un niveau suffisant. Sauf indication contraire, il suffit d’une action simple pour activer un pouvoir de domaine.
Voir la liste des domaines de prêtres."
cleric,Prêtre,Orisons,Oraisons,"Clerics can prepare a number of orisons, or 0-level spells, each day, as noted on Table: Cleric under â€œSpells per Day.â€ These spells are cast like any other spell, but they are not expended when cast and may be used again.","Les prêtres peuvent préparer un certain nombre d’oraisons (ou sorts de niveau 0) chaque jour, comme indiqué sur la Table ""Le Prêtre"" sous la mention « Sorts par jour ». Il jette ces sorts comme les autres mais ils ne sont pas dépensés lorsqu’ils sont lancés et peuvent être utilisés à nouveau."
cleric,Prêtre,Spontaneous Casting,Incantation spontanée,"A good cleric (or a neutral cleric of a good deity) can channel stored spell energy into healing spells that she did not prepare ahead of time. The cleric can â€œloseâ€ any prepared spell that is not an orison or domain spell in order to cast any cure spell of the same spell level or lower (a cure spell is any spell with â€œcureâ€ in its name).An evil cleric (or a neutral cleric who worships an evil deity) can't convert prepared spells to cure spells but can convert them to inflict spells (an inflict spell is one with â€œinflictâ€ in its name).A cleric who is neither good nor evil and whose deity is neither good nor evil can convert spells to either cure spells or inflict spells (player's choice). Once the player makes this choice, it cannot be reversed. This choice also determines whether the cleric channels positive or negative energy (see Channel Energy).","Un prêtre Bon (ou un prêtre Neutre vénérant un dieu Bon) peut canaliser l’énergie réservée pour un sort afin de la transformer spontanément en un sort de soin. Le prêtre peut sacrifier n’importe quel sort préparé (à l’exception des oraisons et des sorts de domaine) pour pouvoir lancer un sort de soins de niveau égal ou inférieur (un sort de soins est un sort dont le nom comporte le mot « soins »).
Un prêtre Mauvais (ou un prêtre Neutre vénérant un dieu Mauvais) ne peut pas convertir les sorts qu’il a préparés en sorts de soins mais il peut les transformer en sorts de blessure (un sort de blessure est un sort dont le nom comporte le mot « blessure »).
Un prêtre Neutre dont la divinité est Neutre peut convertir les sorts qu’il a préparés en sorts de soins ou de blessure (selon le choix du joueur). Une fois que ce choix a été effectué, il ne peut plus être modifié. Cette décision indique également si l’énergie canalisée par le prêtre est positive ou négative (voir « Canalisation d’énergie » plus haut)."
cleric,Prêtre,"Chaotic, Evil, Good, and Lawful Spells","Sorts du Bien, du Chaos, de la Loi et du Mal","A cleric can't cast spells of an alignment opposed to her own or her deity's (if she has one). Spells associated with particular alignments are indicated by the chaotic, evil, good, and lawful descriptors in their spell descriptions.","Un prêtre ne peut pas lancer de sorts dont l’alignement est opposé au sien ou à celui de son dieu (s’il en sert un). L’alignement d’un sort est indiqué dans sa description par les registres Bien, Chaos, Loi et Mal."
cleric,Prêtre,Bonus Languages,Langues supplémentaires,"A cleric's bonus language options include Celestial, Abyssal, and Infernal (the languages of good, chaotic evil, and lawful evil outsiders, respectively). These choices are in addition to the bonus languages available to the character because of her race.","Les options suivantes viennent s’ajouter à la liste des langues que la race du personnage lui permet d’apprendre : céleste, abyssal, infernal (respectivement, les langages des Extérieurs d’alignement Bon, Chaotique-Mauvais et Loyal-Mauvais)."
druid,Druide,Weapon and Armor Proficiency,Armes et armures,"Druids are proficient with the following weapons: club, dagger, dart, quarterstaff, scimitar, scythe, sickle, shortspear, sling, and spear. They are also proficient with all natural attacks (claw, bite, and so forth) of any form they assume with wild shape (see below).Druids are proficient with light and medium armor but are prohibited from wearing metal armor; thus, they may wear only padded, leather, or hide armor. A druid may also wear wooden armor that has been altered by the ironwood spell so that it functions as though it were steel. Druids are proficient with shields (except tower shields) but must use only those crafted from wood.A druid who wears prohibited armor or uses a prohibited shield is unable to cast druid spells or use any of her supernatural or spell-like class abilities while doing so and for 24 hours thereafter.","Le druide est formé au maniement des armes suivantes : bâton, cimeterre, dague, épieu, faux, fléchette, fronde, gourdin, lance et serpe. Il sait également utiliser toutes les attaques naturelles (griffes, morsure et ainsi de suite) des formes qu’il est capable de revêtir (voir l’aptitude forme animale, ci-dessous).
Le druide est formé au port des armures légères et intermédiaires, mais sa foi lui interdit les armures métalliques (il est donc limité aux armures de cuir, de peau ou matelassées). Un druide peut librement utiliser des armures en bois ayant acquis la dureté de l’acier grâce au sort bois de fer. Le druide est également formé au maniement des boucliers (à l’exception des pavois) mais ne peut utiliser que ceux en bois.
Si un druide porte une armure ou un bouclier qui lui est interdit, il perd l’accès à ses sorts de druide et à toutes ses aptitudes de classe surnaturelles ou magiques tant qu’il porte l’objet en question et pendant les vingt-quatre heures suivantes."
druid,Druide,Spells,Sorts,"A druid casts divine spells which are drawn from the druid spell list presented in Spell Lists. Her alignment may restrict her from casting certain spells opposed to her moral or ethical beliefs; see Chaotic, Evil, Good, and Lawful Spells. A druid must choose and prepare her spells in advance.To prepare or cast a spell, the druid must have a Wisdom score equal to at least 10 + the spell level. The Difficulty Class for a saving throw against a druid's spell is 10 + the spell level + the druid's Wisdom modifier.Like other spellcasters, a druid can cast only a certain number of spells of each spell level per day. Her base daily spell allotment is given on Table: Druid. In addition, she receives bonus spells per day if she has a high Wisdom score (see  Table: Ability Modifiers and Bonus Spells).A druid must spend 1 hour each day in a trance-like meditation on the mysteries of nature to regain her daily allotment of spells. A druid may prepare and cast any spell on the druid spell list, provided that she can cast spells of that level, but she must choose which spells to prepare during her daily meditation.","Un druide peut lancer des sorts divins appartenant à la liste des sorts de druides. Son alignement peut cependant l’empêcher de lancer certains sorts opposés à sa morale ou à son éthique (voir la section « Sorts du Bien, du Chaos, de la Loi et du Mal », ci-dessous). Un druide doit choisir et préparer ses sorts à l’avance.
Pour préparer ou lancer un sort, un druide doit avoir une valeur de Sagesse supérieure ou égale à 10 + le niveau du sort. Le DD des jets de sauvegarde contre les sorts du druide est égal à 10 + le niveau du sort + le modificateur de Sagesse du druide.
Comme les autres lanceurs de sorts, le druide ne peut lancer qu’un nombre de sorts donné de chaque niveau chaque jour. Son quota de sorts quotidiens est indiqué sur la Table ""Le Druide"". En plus de cela, il reçoit des sorts en bonus chaque jour si sa valeur de Sagesse est suffisamment élevée (voir la Table ""Modificateurs de caractéristique et sorts en bonus"").
Chaque jour, le druide doit passer une heure à méditer sur les mystères de la nature afin de renouveler son quota journalier de sorts. Le druide peut préparer et lancer n’importe quel sort de la liste des sorts de druide pour autant qu’il puisse lancer des sorts de ce niveau. Il doit cependant choisir quels sorts préparer au cours de sa méditation quotidienne."
druid,Druide,Spontaneous Casting,Incantation spontanée,A druid can channel stored spell energy into summoning spells that she hasn't prepared ahead of time. She can â€œloseâ€ a prepared spell in order to cast any summon nature's ally spell of the same level or lower.,Un druide peut canaliser l’énergie réservée à un sort pour la transformer spontanément en un sort de convocation qu’il n’avait pas préparé à l’avance. Il peut sacrifier un sort préparé pour lancer un sort de convocation d’alliés naturels de niveau égal ou inférieur au niveau du sort transformé.
druid,Druide,"Chaotic, Evil, Good, and Lawful Spells","Sorts du Bien, du Chaos, de la Loi et du Mal","A druid can't cast spells of an alignment opposed to her own or her deity's (if she has one). Spells associated with particular alignments are indicated by the chaos, evil, good, and law descriptors in their spell descriptions.","Un druide ne peut pas lancer de sorts dont l’alignement est opposé au sien ou à celui de son dieu (s’il en sert un). L’alignement d’un sort est indiqué dans sa description par les registres Bien, Chaos, Loi et Mal."
druid,Druide,Orisons,Oraisons,"Druids can prepare a number of orisons, or 0-level spells, each day, as noted on Table: Druid under â€œSpells per Day.â€ These spells are cast like any other spell, but they are not expended when cast and may be used again.","Les druides peuvent préparer un certain nombre d’oraisons (ou sorts de niveau 0) chaque jour, comme indiqué sur la Table ""Le Druide"" sous la mention « Sorts par jour ». Il jette ces sorts comme les autres mais ils ne sont pas perdus lorsqu’ils sont lancés et peuvent être utilisés à volonté."
druid,Druide,Bonus Languages,Langues supplémentaires,"A druid's bonus language options include Sylvan, the language of woodland creatures. This choice is in addition to the bonus languages available to the character because of her race.A druid also knows Druidic, a secret language known only to druids, which she learns upon becoming a 1st-level druid. Druidic is a free language for a druid; that is, she knows it in addition to her regular allotment of languages and it doesn't take up a language slot. Druids are forbidden to teach this language to nondruids.Druidic has its own alphabet.","Le sylvestre, le langage des créatures des bois, vient s’ajouter à la liste des langues que le druide peut choisir comme langues supplémentaires au niveau 1.
En devenant un druide de niveau 1, le personnage apprend également le druidique, le langage secret des druides. Cet apprentissage est gratuit. Le druidique vient s’ajouter à la liste des langues que le personnage connaît sans qu’il doive le choisir à la place d’une autre langue. Il est interdit d’enseigner le druidique aux non-druides.
Le druidique possède son propre alphabet."
druid,Druide,Nature Bond (Ex),Pacte avec la nature (Ext),"At 1st level, a druid forms a bond with nature. This bond can take one of two forms. The first is a close tie to the natural world, granting the druid one of the following cleric domains: Air, Animal, Earth, Fire, Plant, Water, or Weather. When determining the powers and bonus spells granted by this domain, the druid's effective cleric level is equal to her druid level. A druid that selects this option also receives additional domain spell slots, just like a cleric. She must prepare the spell from her domain in this slot and this spell cannot be used to cast a spell spontaneously.The second option is to form a close bond with an animal companion. A druid may begin play with any of the animals listed in Animal Choices. This animal is a loyal companion that accompanies the druid on her adventures.Unlike normal animals of its kind, an animal companion's Hit Dice, abilities, skills, and feats advance as the druid advances in level. If a character receives an animal companion from more than one source, her effective druid levels stack for the purposes of determining the statistics and abilities of the companion. Most animal companions increase in size when their druid reaches 4th or 7th level, depending on the companion. If a druid releases her companion from service, she may gain a new one by performing a ceremony requiring 24 uninterrupted hours of prayer in the environment where the new companion typically lives. This ceremony can also replace an animal companion that has perished.","Au niveau 1, un lien se crée entre le druide et la nature, lien qui peut prendre une des deux formes suivantes.

Domaine de druide :
Dans la première forme, le druide devient si intime avec la nature qu’il acquiert l’un des domaines de prêtre suivants : Air, Climat, Eau, Faune, Feu, Flore ou Terre. Pour toutes les capacités et les sorts en bonus donnés par ce domaine, on considère que le niveau de prêtre du personnage est égal à son niveau de druide. Comme les prêtres, les druides qui choisissent cette option reçoivent des emplacements de sorts de domaine qu’ils ne peuvent utiliser que pour préparer les sorts de leur domaine et qu’ils ne peuvent pas employer pour une incantation spontanée.
Ultimate Magic - Art de la Magie
En plus de ces domaines communs avec les prêtres, un druide peut choisir un domaine animal ou environnemental au lieu de l’un des domaines précité.
Tout comme les domaines de prêtre, ceux du druide lui donnent des pouvoirs et des sorts de domaine. Un druide qui choisit un domaine animal ou environnemental gagne un emplacement de sort de domaine par niveau.
Un druide qui vénère un dieu (et non la nature en général) ne peut pas choisir un domaine animal ou environnemental qui entre en contradiction avec les thèmes associés à sa divinité ou qui sort de sa juridiction.
Si un pouvoir de domaine animal ou environnement autorise un jet de sauvegarde, le DD du jet est égal à 10 + 1/2 du niveau du druide + modificateur de Sagesse.
Les autres classes basées sur la nature qui donnent accès à des domaines peuvent choisir un domaine animal ou environnemental au lieu d’un domaine ordinaire.

Compagnon Animal :
La seconde forme consiste en un lien étroit entre le druide et un compagnon animal ou vermine. Le druide peut commencer sa carrière en étant accompagné d’un des animaux ou une des vermines cités dans la section « Liste des compagnons animaux ». Le compagnon est loyal et accompagne le druide lors de ses aventures.
Contrairement aux animaux normaux, le compagnon animal ou vermine évolue (en dés de vie, en caractéristiques, en compétences et en dons) lorsque le druide gagne des niveaux. Si le personnage possède plusieurs classes offrant un compagnon animal, ses niveaux dans ces différentes classes se cumulent pour déterminer les caractéristiques de son compagnon. La taille de la plupart des compagnons animaux s’accroît lorsque le druide atteint le niveau 4 ou 7 (selon le compagnon). Si le druide décide de se séparer de son compagnon, il peut en obtenir un autre en accomplissant un rituel qui nécessite vingt-quatre heures de prières ininterrompues au sein d’un environnement de vie typique pour le nouveau compagnon animal. Cette cérémonie peut également être utilisée pour remplacer un compagnon animal qui est mort.
Voir aussi la liste des compagnons animaux"
druid,Druide,Nature Sense (Ex),Instinct naturel (Ext),A druid gains a +2 bonus on Knowledge (nature) and Survival checks.,Le druide bénéficie d’un bonus de +2 aux tests de Connaissances (nature) et de Survie.
druid,Druide,Wild Empathy (Ex),Empathie sauvage (Ext),"A druid can improve the attitude of an animal. This ability functions just like a Diplomacy check made to improve the attitude of a person (see Using Skills). The druid rolls 1d20 and adds her druid level and her Charisma modifier to determine the wild empathy check result. The typical domestic animal has a starting attitude of indifferent, while wild animals are usually unfriendly.To use wild empathy, the druid and the animal must be within 30 feet of one another under normal conditions. Generally, influencing an animal in this way takes 1 minute but, as with influencing people, it might take more or less time.A druid can also use this ability to influence a magical beast with an Intelligence score of 1 or 2, but she takes a –4 penalty on the check.","Un druide peut améliorer l’attitude d’un animal. Cette aptitude suit les mêmes règles que les tests de Diplomatie destinés à modifier l’attitude d’une personne. Le druide lance 1d20 et ajoute son niveau de druide et son modificateur de Charisme pour déterminer le résultat de son test. L’attitude initiale des animaux domestiques est l’indifférence, tandis que les animaux sauvages sont généralement inamicaux.
Pour utiliser l’empathie sauvage, le druide et l’animal doivent être à moins de neuf mètres l’un de l’autre (dans des conditions de visibilité normales). Il faut en moyenne une minute pour influencer un animal de cette façon, mais, comme dans le cas de personnes, cela peut parfois prendre plus longtemps ou être plus rapide.
Un druide peut également utiliser cette aptitude pour influencer une créature magique dont la valeur d’Intelligence est de 1 ou 2 mais son test subit alors un malus de -4."
druid,Druide,Woodland Stride (Ex),Déplacement facilité (Ext),"Starting at 2nd level, a druid may move through any sort of undergrowth (such as natural thorns, briars, overgrown areas, and similar terrain) at her normal speed and without taking damage or suffering any other impairment. Thorns, briars, and overgrown areas that have been magically manipulated to impede motion, however, still affect her.","Dès le niveau 2, le druide se déplace sans la moindre gêne dans toutes sortes de taillis, y compris les fourrés, les buissons (même épineux) et les autres zones de végétation dense. Il progresse à sa vitesse de déplacement normale et ne subit aucun dégât. La végétation enchantée de manière à restreindre les mouvements continue toutefois de l’affecter."
druid,Druide,Trackless Step (Ex),Absence de traces (Ext),"Starting at 3rd level, a druid leaves no trail in natural surroundings and cannot be tracked. She may choose to leave a trail if so desired.","Au niveau 3, le druide ne laisse plus la moindre trace en milieu naturel et il est impossible de le pister. Il peut néanmoins laisser des traces s’il le souhaite."
druid,Druide,Resist Nature's Lure (Ex),Résistance à l’appel de la nature (Ext),"Starting at 4th level, a druid gains a +4 bonus on saving throws against the spell-like and supernatural abilities of fey. This bonus also applies to spells and effects that utilize or target plants, such as blight, entangle, spike growth, and warp wood.","À partir du niveau 4, le druide bénéficie d’un bonus de +4 aux jets de sauvegarde contre les capacités surnaturelles ou magiques des fées. Ce bonus s’applique également aux sorts et aux effets qui utilisent ou ciblent des plantes, comme par exemple croissance d’épines, distorsion du bois, enchevêtrement ou flétrissement végétal."
druid,Druide,Wild Shape (Su),Forme animale (Sur),"At 4th level, a druid gains the ability to turn herself into any Small or Medium animal and back again once per day. Her options for new forms include all creatures with the animal type. This ability functions like the beast shape I spell, except as noted here. The effect lasts for 1 hour per druid level, or until she changes back. Changing form (to animal or back) is a standard action and doesn't provoke an attack of opportunity. The form chosen must be that of an animal with which the druid is familiar.A druid loses her ability to speak while in animal form because she is limited to the sounds that a normal, untrained animal can make, but she can communicate normally with other animals of the same general grouping as her new form. (The normal sound a wild parrot makes is a squawk, so changing to this form does not permit speech.)A druid can use this ability an additional time per day at 6th level and every two levels thereafter, for a total of eight times at 18th level. At 20th level, a druid can use wild shape at will. As a druid gains levels, this ability allows the druid to take on the form of larger and smaller animals, elementals, and plants. Each form expends one daily use of this ability, regardless of the form taken.At 6th level, a druid can also use wild shape to change into a Large or Tiny animal or a Small elemental. When taking the form of an animal, a druid's wild shape now functions as beast shape II. When taking the form of an elemental, the druid's wild shape functions as elemental body I.At 8th level, a druid can also use wild shape to change into a Huge or Diminutive animal, a Medium elemental, or a Small or Medium plant creature. When taking the form of animals, a druid's wild shape now functions as beast shape III. When taking the form of an elemental, the druid's wild shape now functions as elemental body II. When taking the form of a plant creature, the druid's wild shape functions as plant shape I.At 10th level, a druid can also use wild shape to change into a Large elemental or a Large plant creature. When taking the form of an elemental, the druid's wild shape now functions as elemental body III. When taking the form of a plant, the druid's wild shape now functions as plant shape II.At 12th level, a druid can also use wild shape to change into a Huge elemental or a Huge plant creature. When taking the form of an elemental, the druid's wild shape now functions as elemental body IV. When taking the form of a plant, the druid's wild shape now functions as plant shape III.","Au niveau 4, le druide gagne la capacité de se transformer en un animal de taille P ou M puis de reprendre sa forme normale une fois par jour. Il peut prendre la forme de n’importe quelle créature de type animal. Ce pouvoir fonctionne comme le sort de forme bestiale I, mis à part les différences précisées ici. Cet effet dure au maximum une heure par niveau de druide mais le druide peut y mettre fin avant. La transformation (vers ou depuis la forme animale) est une action simple qui ne provoque pas d’attaque d’opportunité. La forme choisie doit être celle d’un animal que le druide connaît bien.
Tant qu’il est transformé, un druide est incapable de parler. Il doit se contenter des bruits qu’un animal ordinaire est capable de produire sans entraînement. Il peut néanmoins communiquer normalement avec les autres animaux de la même espèce, ou d’une espèce proche de sa forme actuelle (à noter dans la nature, les perroquets poussent des cris, ils ne sont pas capables de parler).
Le personnage gagne une utilisation quotidienne supplémentaire de ce pouvoir au niveau 6 et tous les deux niveaux par la suite, pour un total de huit utilisations au niveau 18. Au niveau 20, le druide peut utiliser cette capacité à volonté. En gagnant des niveaux, le druide a accès à d’autres formes, comme celles d’animaux plus petits et plus grands, d’élémentaires et de plantes. Quelle que soit la forme choisie, la transformation consomme une utilisation de ce pouvoir.
Au niveau 6, un druide peut également utiliser ce pouvoir pour se transformer en animal de taille TP ou taille G ou en élémentaire de taille P. Lorsqu’il prend la forme d’un animal, la capacité fonctionne désormais comme le sort forme bestiale II. Lorsqu’il prend la forme d’un élémentaire, elle fonctionne comme le sort corps élémentaire I.
Au niveau 8, le druide peut également utiliser ce pouvoir pour se transformer en animal de taille TG ou Min, en élémentaire de taille M ou en créature de type plante de taille P ou M. Lorsqu’il prend la forme d’un animal, la capacité fonctionne désormais comme le sort forme bestiale III. Lorsqu’il prend la forme d’un élémentaire, elle fonctionne comme le sort corps élémentaire II. Lorsqu’il prend la forme d’une créature de type plante, elle fonctionne comme le sort forme végétale I.
Au niveau 10, le druide peut également utiliser ce pouvoir pour se transformer en élémentaire de taille G ou en créature de type plante de taille G. Lorsqu’il prend la forme d’un élémentaire, la capacité fonctionne désormais comme le sort corps élémentaire III. Lorsqu’il prend la forme d’une créature de type plante, elle fonctionne comme le sort forme végétale II.
Au niveau 12, le druide peut également utiliser ce pouvoir pour se transformer en élémentaire de taille TG ou en créature de type plante de taille TG. Lorsqu’il prend la forme d’un élémentaire, la capacité fonctionne désormais comme le sort corps élémentaire IV. Lorsqu’il prend la forme d’une créature de type plante, elle fonctionne comme le sort de forme végétale III."
druid,Druide,Venom Immunity (Ex),Immunité contre le venin (Ext),"At 9th level, a druid gains immunity to all poisons.","À partir du niveau 9, le druide est immunisé à toutes les formes de poisons."
druid,Druide,A Thousand Faces (Su),Mille visages (Sur),"At 13th level, a druid gains the ability to change her appearance at will, as if using the alter self spell, but only while in her normal form.","Au niveau 13, le druide acquiert le pouvoir surnaturel de se transformer à volonté, comme s’il utilisait le sort modification d’apparence, mais uniquement lorsqu’il est sous sa forme normale."
druid,Druide,Timeless Body (Ex),Éternelle jeunesse (Ext),"After attaining 15th level, a druid no longer takes ability score penalties for aging and cannot be magically aged. Any penalties she may have already incurred, however, remain in place. Bonuses still accrue, and the druid still dies of old age when her time is up.","À partir du niveau 15, le druide ne subit plus les effets du vieillissement et est immunisé aux attaques provoquant un vieillissement accéléré. Les malus de vieillesse qu’il aurait pu subir avant d’atteindre ce niveau ne sont pas effacés pour autant. Le druide continue de vieillir et bénéficie des bonus qui en découlent. Il meurt toujours de vieillesse lorsque son heure est venue."
fighter,Guerrier,Weapon and Armor Proficiency,Armes et armures,"A fighter is proficient with all simple and martial weapons and with all armor (heavy, light, and medium) and shields (including tower shields).","Le guerrier est formé au maniement de toutes les armes courantes et de guerre, ainsi qu’au port de tous les types d’armures (légères, intermédiaires et lourdes) et à l’utilisation des boucliers (y compris les pavois)."
fighter,Guerrier,Bonus Feats,Dons supplémentaires,"At 1st level, and at every even level thereafter, a fighter gains a bonus feat in addition to those gained from normal advancement (meaning that the fighter gains a feat at every level). These bonus feats must be selected from those listed as combat feats, sometimes also called â€œfighter bonus feats.â€Upon reaching 4th level, and every four levels thereafter (8th, 12th, and so on), a fighter can choose to learn a new bonus feat in place of a bonus feat he has already learned. In effect, the fighter loses the bonus feat in exchange for the new one. The old feat cannot be one that was used as a prerequisite for another feat, prestige class, or other ability. A fighter can only change one feat at any given level and must choose whether or not to swap the feat at the time he gains a new bonus feat for the level.","Au niveau 1 et tous les niveaux pairs suivants, le guerrier peut choisir un don supplémentaire qui vient s’ajouter à ceux auxquels tous les personnages ont droit en montant de niveau (le guerrier gagne donc un don à chaque niveau). Ces dons supplémentaires doivent être choisis parmi ceux qui sont indiqués comme étant des « dons de combat ».
Lorsqu’il atteint le niveau 4 et tous les quatre niveaux par la suite (aux niveaux 8, 12, et ainsi de suite), le guerrier peut choisir de remplacer un des dons supplémentaires qu’il a appris par un autre. Concrètement, le guerrier perd le don supplémentaire en question et en gagne un nouveau. Le don perdu ne peut avoir été utilisé comme condition permettant d’avoir accès à un autre don, à une classe de prestige ou à un autre avantage. Le guerrier ne peut remplacer qu’un seul don à chacun de ces niveaux et doit choisir de le faire ou non au moment où il sélectionne le nouveau don pour ce niveau."
fighter,Guerrier,Bravery (Ex),Courage (Ext),"Starting at 2nd level, a fighter gains a +1 bonus on Will saves against fear. This bonus increases by +1 for every four levels beyond 2nd.","À partir du niveau 2, le guerrier gagne un bonus de +1 aux jets de sauvegarde contre la terreur. Ce bonus augmente de +1 tous les quatre niveaux après le niveau 2."
fighter,Guerrier,Armor Training (Ex),Entraînement aux armures (Ext),"Starting at 3rd level, a fighter learns to be more maneuverable while wearing armor. Whenever he is wearing armor, he reduces the armor check penalty by 1 (to a minimum of 0) and increases the maximum Dexterity bonus allowed by his armor by 1. Every four levels thereafter (7th, 11th, and 15th), these bonuses increase by +1 each time, to a maximum –4 reduction of the armor check penalty and a +4 increase of the maximum Dexterity bonus allowed.In addition, a fighter can also move at his normal speed while wearing medium armor. At 7th level, a fighter can move at his normal speed while wearing heavy armor.","Dès le niveau 3, le guerrier apprend à rester mobile même en armure. Lorsqu’il porte une armure, il réduit de 1 le malus d’armure aux tests de compétence (jusqu’à un minimum de 0) et augmente de 1 le bonus de Dextérité maximal autorisé par cette armure. Tous les quatre niveaux par la suite (aux niveaux 7, 11 et 15), ces modificateurs augmentent de 1, jusqu’à une réduction de -4 au malus d’armure et une augmentation de +4 au bonus de Dextérité maximal.
De plus, un guerrier peut se déplacer à sa vitesse normale même lorsqu’il porte une armure intermédiaire. Au niveau 7, cela est valable également lorsqu’il porte une armure lourde."
