id,name,name_fr,type,description,description_fr,prerequisites,prerequisite_feats,benefit,benefit_fr,benefit_short_fr,normal,special,source,teamwork,critical,grit,style,performance,racial,companion_familiar,race_name,note,goal,completion_benefit,multiples,suggested_traits,effects,passive,conditions,external_conditions
72,"Armor Proficiency, Light",Port des armures légères,Combat,You are skilled at wearing light armor.,Le personnage est formé au port des armures légères.,Spell Focus.,0,"When you wear a type of armor with which you are proficient, the armor check penalty for that armor applies only to Dexterity- and Strength-based skill checks.","Lorsqu’un personnage est formé au port d’une armure, le malus d’armure aux tests associés à celle-ci s’applique uniquement aux tests basés sur la Dextérité et la Force.
Normal. Le malus d’armure aux tests imposés par une armure pour laquelle le personnage n’est pas formé s’applique aux jets d’attaque et à tous les tests de compétence associés à la Force ou à la Dextérité.",Le personnage peut porter les armures légères sans subir de pénalités aux jets d’attaque et à toutes les compétences.,A character who is wearing armor with which he is not proficient applies its armor check penalty to attack rolls and to all skill checks that involve moving.,"All characters except monks, sorcerers, and wizards automatically have Light Armor Proficiency as a bonus feat. They need not select it.",PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,"Armor Proficiency, Medium",Port des armures intermédiaires,Combat,You are skilled at wearing medium armor.,Le personnage est formé au port des armures intermédiaires.,Spell Penetration.,Light Armor Proficiency,"See Armor Proficiency, Light.","Voir « Port des armures légères ».
Normal. Voir « Port des armures légères ».",Le personnage peut porter les armures intermédiaires sans subir de pénalités aux jets d’attaque et à toutes les compétences.,"See Armor Proficiency, Light.","Barbarians, clerics, druids, fighters, paladins, and rangers automatically have Medium Armor Proficiency as a bonus feat. They need not select it.",PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Athletic,Athlétisme,General,You possess inherent physical prowess.,Le personnage possède un potentiel athlétique inné.,"Proficiency with selected weapon, Greater Weapon Focus with selected weapon, Weapon Focus with selected weapon, Weapon Specialization with selected weapon, 12th-level fighter.",0,"You get a +2 bonus on Climb and Swim skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.","Le personnage obtient un bonus de +2 sur tous ses tests d’Escalade et de Natation. Si le personnage a 10 rangs ou plus dans l’une de ces compétences, le bonus ajouté à cette compétence augmente de +4.",+2 en Escalade et Natation (+4 si 10+ rangs),0,0,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Augment Summoning,Amélioration des créatures convoquées,General,Your summoned creatures are more powerful and robust.,Les créatures invoquées par le personnage sont plus puissantes et plus résistantes.,Channel energy class feature.,Spell Focus (conjuration),Each creature you conjure with any summon spell gains a +4 enhancement bonus to Strength and Constitution for the duration of the spell that summoned it.,Toutes les créatures que le personnage convoque grâce à un sort de convocation bénéficient d’un bonus d’altération de +4 en Force et en Constitution pendant la durée du sort qui a permis de les convoquer.,+4 For et +4 Con aux créatures convoquées,0,0,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Bleeding Critical,Critique sanglant,Combat,Your critical hits cause opponents to bleed profusely.,Les coups critiques du personnage font saigner abondamment ses adversaires.,Ride 1 rank.,Critical Focus,"Whenever you score a critical hit with a slashing or piercing weapon, your opponent takes 2d6 points of bleed damage (see Appendix 2) each round on his turn, in addition to the damage dealt by the critical hit. Bleed damage can be stopped by a DC 15 Heal skill check or through any magical healing. The effects of this feat stack.","Quand le personnage réussit un coup critique avec une arme tranchante ou perforante, son adversaire subit 2d6 points de dégâts de saignement par round, à son tour de jeu, en plus des dégâts causés par le coup critique. On peut arrêter l’hémorragie à l’aide d’un test de Premiers secours DD 15 ou grâce à un soin magique. Les effets de ce don se cumulent.","Les coups critiques par arme tranchante ou perçante infligent un saignement de 2d6 points de dégâts (cumulatifs, au tour de la victime, guérison DD 15)",0,You can only apply the effects of one critical feat to a given critical hit unless you possess Critical Mastery.,PFRPG Core,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Blind-Fight,Combat en aveugle,Combat,You are skilled at attacking opponents that you cannot clearly perceive.,Le personnage est très doué pour attaquer des adversaires qu’il distingue mal.,"Str 13, base attack bonus +1.",0,"In melee, every time you miss because of concealment (see Chapter 8), you can reroll your miss chance percentile roll one time to see if you actually hit. An invisible attacker gets no advantages related to hitting you in melee. That is, you don't lose your Dexterity bonus to Armor Class, and the attacker doesn't get the usual +2 bonus for being invisible. The invisible attacker's bonuses do still apply for ranged attacks, however. You do not need to make Acrobatics skill checks to move at full speed while blinded.","Lors d’un combat au corps à corps, à chaque fois que le personnage rate son adversaire à cause de son camouflage, il peut à nouveau jeter 1d100 afin de savoir s’il touche.
Un adversaire invisible ne bénéficie d’aucun avantage offensif contre le personnage. Autrement dit, ce dernier ne perd pas son bonus de Dextérité à la CA et son adversaire n’a pas droit au bonus habituel de +2 accordé aux créatures invisibles. Un ennemi invisible conserve cependant ses avantages pour les attaques à distance.
Normal. Les modificateurs de jet d’attaque liés aux assaillants invisibles s’appliquent au personnage, et il perd son bonus de Dextérité à la CA face à eux. La réduction de vitesse s’applique aussi dans les ténèbres et en cas de mauvaise visibilité.",Permet de relancer le dé de chance d’échec dû au camouflage,"Regular attack roll modifiers for invisible attackers trying to hit you apply, and you lose your Dexterity bonus to AC. The speed reduction for darkness and poor visibility also applies.",The Blind-Fight feat is of no use against a character who is the subject of a blink spell.,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Blinding Critical,Critique aveuglant,Combat,Your critical hits blind your opponents.,Les coups critiques du personnage aveuglent ses adversaires.,Base attack bonus +1.,Critical Focus,"Whenever you score a critical hit, your opponent is permanently blinded. A successful Fortitude save reduces this to dazzled for 1d4 rounds. The DC of this Fortitude save is equal to 10 + your base attack bonus. This feat has no effect on creatures that do not rely on eyes for sight or creatures with more than two eyes (although multiple critical hits might cause blindness, at the GM's discretion). Blindness can be cured by heal, regeneration, remove blindness, or similar abilities.","Quand le personnage inflige un coup critique, son adversaire est définitivement aveuglé. Un jet de Vigueur réussi permet de limiter les effets à la condition ébloui pendant 1d4 rounds. Le DD du jet de sauvegarde est égal à 10 + bonus de base à l’attaque du personnage. Ce don n’a aucun effet sur les créatures qui ne dépendent pas de leur vue ou sur celles qui possèdent plus de deux yeux (bien que, si le MJ est d’accord, le personnage puisse aveugler la créature en répétant les critiques).
On peut soigner une créature aveugle à l’aide d’un sort de guérison suprême, guérison de la cécité ou d’un pouvoir similaire.",Les coups critiques peuvent aveugler la cible de manière permanente (ébloui 1d4 rounds en cas de JdS de Vigueur DD 10 + BBA réussi).,0,You can only apply the effects of one critical feat to a given critical hit unless you possess Critical Mastery.,PFRPG Core,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Brew Potion,Préparation de potions,Item Creation,You can create magic potions.,Le personnage sait fabriquer des potions magiques.,"Dex 15, Dodge, base attack bonus +6.",0,"You can create a potion of any 3rd-level or lower spell that you know and that targets one or more creatures or objects. Brewing a potion takes 2 hours if its base price is 250 gp or less, otherwise brewing a potion takes 1 day for each 1,000 gp in its base price. When you create a potion, you set the caster level, which must be sufficient to cast the spell in question and no higher than your own level. To brew a potion, you must use up raw materials costing one half this base price. See the magic item creation rules in Chapter 15 for more information. When you create a potion, you make any choices that you would normally make when casting the spell. Whoever drinks the potion is the target of the spell.","Le personnage peut fabriquer une potion reproduisant les effets de n’importe quel sort du 3<sup>e</sup> niveau maximum qu’il connaît et qui vise une ou plusieurs créatures. La préparation demande deux heures si elle coûte 250 po ou moins, sinon, il faut une journée par tranche de 1 000 po que coûte la potion. Le personnage décide du niveau de lanceur de sorts de la potion au moment où il la fabrique : il doit être suffisant pour pouvoir lancer le sort et ne doit pas dépasser le niveau de lanceur de sorts du préparateur. Pour fabriquer une potion, le personnage utilise des composantes qui valent la moitié du prix de base de ladite potion.
Consultez les règles de création des objets magiques pour plus d’informations ici.
Lorsque le personnage prépare la potion, il fait tous les choix qu’il devrait normalement effectuer au moment de l’incantation. Quiconque boit la potion devient la cible du sort.",Permet de créer des potions magiques,0,0,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Catch Off-Guard,Surprise,Combat,Foes are surprised by your skilled use of unorthodox and improvised weapons.,Les adversaires sont surpris par l’adresse avec laquelle le personnage se sert d’armes improvisées peu orthodoxes.,0,0,You do not suffer any penalties for using an improvised melee weapon. Unarmed opponents are flat-footed against any attacks you make with an improvised melee weapon.,Le personnage ne subit pas de malus quand il se sert d’une arme de corps à corps improvisée. Les adversaires sans armes sont pris au dépourvu quand le personnage les attaque avec une arme de corps à corps improvisée.,Pas de pénalité en attaquant au corps à corps avec une arme improvisée,You take a -4 penalty on attack rolls made with an improvised weapon.,0,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,Channel Smite,Châtiment canalisé,Combat,You can channel your divine energy through a melee weapon you wield.,Le personnage peut canaliser son énergie divine à travers l’arme de contact qu’il tient en main.,Sneak attack +5d6.,0,"Before you make a melee attack roll, you can choose to spend one use of your channel energy ability as a swift action. If you channel positive energy and you hit an undead creature, that creature takes an amount of additional damage equal to the damage dealt by your channel positive energy ability. If you channel negative energy and you hit a living creature, that creature takes an amount of additional damage equal to the damage dealt by your channel negative energy ability. Your target can make a Will save, as normal, to halve this additional damage. If your attack misses, the channel energy ability is still expended with no effect.","Avant de porter une attaque au corps à corps, le personnage peut choisir de dépenser une utilisation de sa capacité de canalisation d’énergie, par une action rapide. Si le personnage canalise de l’énergie positive et qu’il frappe un mort-vivant, ce dernier encaisse un nombre de points de dégâts supplémentaires égal aux dégâts occasionnés par la capacité de canalisation d’énergie. Si le personnage canalise de l’énergie négative et qu’il frappe une créature vivante, cette dernière encaisse un nombre de points de dégâts supplémentaires égal aux dégâts occasionnés par la capacité de canalisation d’énergie. La cible peut effectuer son jet de Volonté habituel pour réduire ces dégâts de moitié. Si l’attaque du personnage échoue, sa capacité de canalisation d’énergie a été utilisée sans effet.",Permet de réaliser une canalisation au travers d’une attaque au corps à corps,0,0,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,Cleave,Enchaînement,Combat,You can strike two adjacent foes with a single swing.,Le personnage peut frapper deux adversaires adjacents d’un seul mouvement.,Elf.,Power Attack,"As a standard action, you can make a single attack at your full base attack bonus against a foe within reach. If you hit, you deal damage normally and can make an additional attack (using your full base attack bonus) against a foe that is adjacent to the first and also within reach. You can only make one additional attack per round with this feat. When you use this feat, you take a -2 penalty to your Armor Class until your next turn.","Par une action simple, le personnage porte une unique attaque avec la totalité de son bonus d’attaque à un adversaire situé à sa portée. S’il le touche, il lui inflige les dégâts habituels et peut faire une attaque supplémentaire (toujours avec son bonus d’attaque maximal) contre un adversaire adjacent au premier ennemi et situé à portée du personnage. Ce don ne permet qu’une attaque supplémentaire par round. Quand le personnage utilise ce don, il subit un malus de -2 à la CA jusqu’à son prochain tour.","Coup spécial (action simple) pour porter une attaque au corps-à-corps contre un adversaire et, si elle touche, une autre attaque contre une autre cible adjacente",0,0,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Combat Casting,Magie de guerre,General,You are adept at spellcasting when threatened or distracted.,Le personnage est doué pour lancer des sorts même s’il est menacé ou distrait.,0,0,You get a +4 bonus on concentration checks made to cast a spell or use a spell-like ability when casting on the defensive or while grappled.,"Le personnage bénéficie d’un bonus de +4 aux tests de concentration lorsqu’il essaye de lancer un sort ou d’utiliser une capacité équivalente sur la défensive, ou lorsqu’il est agrippé ou immobilisé en situation de lutte.",+4 aux tests de concentration pour incanter sur la défensive,0,0,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,Combat Expertise,Expertise du combat,Combat,You can increase your defense at the expense of your accuracy.,Le personnage améliore sa défense au détriment de sa précision.,"Str 13, Power Attack, base attack bonus +1.",0,"You can choose to take a -1 penalty on melee attack rolls and combat maneuver checks to gain a +1 dodge bonus to your Armor Class. When your base attack bonus reaches +4, and every +4 thereafter, the penalty increases by -1 and the dodge bonus increases by +1. You can only choose to use this feat when you declare that you are making an attack or a full-attack action with a melee weapon. The effects of this feat last until your next turn.","Le personnage peut choisir de subir un malus de -1 aux jets d’attaque et aux manœuvres offensives en échange d’un bonus d’esquive de +1 à la CA. Quand son bonus de base à l’attaque atteint +4, et, par la suite, pour chaque tranche de bonus de +4, le malus augmente de -1 et le bonus d’esquive de +1. Le personnage ne peut choisir d'utiliser ce don qu'au moment où il entreprend une action d'attaque, à outrance ou non, avec une arme de mêlée. Les effets de ce don se poursuivent jusqu’au prochain tour du personnage.",-1 aux attaques de corps à corps et au BMC contre +1 (esquive) à la CA (augmenté toutes les tranches de 4 points de BBA),0,0,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,Combat Reflexes,Attaques réflexes,Combat,You can make additional attacks of opportunity.,Le personnage peut faire des attaques d’opportunité supplémentaires.,"Int 13, Combat Expertise, Improved Dirty Trick, base attack bonus +6.",0,"You may make a number of additional attacks of opportunity per round equal to your Dexterity bonus. With this feat, you may also make attacks of opportunity while flat-footed.","À chaque round, le personnage a droit à un nombre d’attaques d’opportunité supplémentaires égal à son bonus de Dextérité. Le personnage peut faire une attaque d’opportunité même s’il est pris au dépourvu.
Normal. Un personnage ne possédant pas ce don n’a droit qu’à une attaque d’opportunité par round et il ne peut pas le faire s’il est pris au dépourvu.",Nombre maximal d’attaques d’opportunité par round augmenté du bonus de Dextérité,A character without this feat can make only one attack of opportunity per round and can't make attacks of opportunity while flat-footed.,The Combat Reflexes feat does not allow a rogue to use her opportunist ability more than once per round.,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,Command Undead,Contrôle des morts-vivants,General,"Using foul powers of necromancy, you can command undead creatures, making them into your servants.",Le personnage peut recourir à d’immondes pouvoirs nécromantiques pour prendre le contrôle de créatures mortes-vivantes et en faire ses serviteurs.,"Int 13, Combat Expertise, Improved Reposition, base attack bonus +6.",0,"As a standard action, you can use one of your uses of channel negative energy to enslave undead within 30 feet. Undead receive a Will save to negate the effect. The DC for this Will save is equal to 10 + 1/2 your cleric level + your Charisma modifier. Undead that fail their saves fall under your control, obeying your commands to the best of their ability, as if under the effects of control undead. Intelligent undead receive a new saving throw each day to resist your command. You can control any number of undead, so long as their total Hit Dice do not exceed your cleric level. If you use channel energy in this way, it has no other effect (it does not heal or harm nearby creatures). If an undead creature is under the control of another creature, you must make an opposed Charisma check whenever your orders conf lict.","Par une action simple, le personnage peut canaliser l’énergie négative pour réduire en esclavage des morts-vivants situés dans un rayon de neuf mètres. Les morts-vivants ont droit à un jet de Volonté pour annuler l’effet. Le DD de ce jet est égal à 10 + 1/2 niveau de lanceur de sorts du personnage + modificateur de Charisme. Les morts-vivants qui ratent leur jet de sauvegarde tombent sous le contrôle du personnage et font de leur mieux pour lui obéir, comme s’ils étaient sous l’effet d’un contrôle des morts-vivants. Les morts-vivants doués d’Intelligence ont droit à un nouveau jet de sauvegarde par jour. Le personnage peut contrôler n’importe quel nombre de morts-vivants tant que le total de leurs DV ne dépasse pas son niveau de prêtre. Si le personnage choisit de canaliser l’énergie dans ce but, elle n’a pas d’autre effet (elle ne soigne ni ne blesse les créatures proches). Si un mort-vivant est sous le contrôle d’une autre créature, le personnage doit faire un test de Charisme opposé à celui de celle-ci quand les ordres entrent en conflit.",Permet de contrôler les morts-vivants affectés,0,0,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,Craft Magic Arms and Armor,Création d'armes et armures magiques,Item Creation,"You can create magic armor, shields, and weapons.","Le personnage sait fabriquer des armures, des boucliers et des armes magiques.",Bardic performance class feature.,0,"You can create magic weapons, armor, or shields. Enhancing a weapon, suit of armor, or shield takes 1 day for each 1,000 gp in the price of its magical features. To enhance a weapon, suit of armor, or shield, you must use up raw materials costing half of this total price. See the magic item creation rules in Chapter 15 for more information. The weapon, armor, or shield to be enhanced must be a masterwork item that you provide. Its cost is not included in the above cost. You can also mend a broken or destroyed magic weapon, suit of armor, or shield if it is one that you could make. Doing so costs half the raw materials and half the time it would take to craft that item in the first place.","Le personnage peut créer n’importe quel type de bouclier, d’arme ou d’armure magique. Le processus de fabrication prend un jour par tranche de 1000 po du prix de base des modifications à apporter à l’objet. Le personnage doit acheter les matières premières nécessaires à la moitié de leur prix de base (Voir la page sur la création d'objets magiques). L’arme, l'armure ou le bouclier devant être enchanté doit obligatoirement être un objet de maître (son prix n’est pas inclus dans le total précédent).
Le personnage peut également réparer des armes, des armures ou des boucliers cassés s’il remplit les conditions de création de ce type d’objet. La procédure à suivre reste la même, mais tous les chiffres (prix et durée) sont réduits de moitié.",Permet de créer des armes et des armures magiques,0,0,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,Craft Rod,Création de sceptres magiques,Item Creation,You can create magic rods.,Le personnage sait fabriquer des sceptres.,0,0,"You can create magic rods. Crafting a rod takes 1 day for each 1,000 gp in its base price. To craft a rod, you must use up raw materials costing half of its base price. See the magic item creation rules in Chapter 15 for more information.",Le personnage peut fabriquer un sceptre magique. Le processus de fabrication prend un jour par tranche de 1000 po du prix de base de l’objet. Le personnage doit acheter les matières premières nécessaires à la moitié de leur prix de base (Voir la page sur la création d'objets magiques).,Permet de créer des sceptres magiques,0,0,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Craft Wand,Création de baguettes magiques,Item Creation,You can create magic wands.,Le personnage sait fabriquer des baguettes magiques.,Halfling.,0,"You can create a wand of any 4th-level or lower spell that you know. Crafting a wand takes 1 day for each 1,000 gp in its base price. To craft a wand, you must use up raw materials costing half of this base price. A newly created wand has 50 charges. See the magic item creation rules in Chapter 15 for more information.","Le personnage peut fabriquer une baguette magique pour n’importe quel sort de niveau 4 ou moins qu’il connaît. Le processus de fabrication prend un jour par tranche de 1000 po du prix de base de l’objet. Le personnage doit acheter les matières premières nécessaires à la moitié de leur prix de base. À sa création, la baguette possède cinquante charges (Voir la page sur la création d'objets magiques).",Permet de créer des baguettes magiques,0,0,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,Craft Staff,Création de bâtons magiques,Item Creation,You can create magic staves.,Le personnage sait fabriquer des bâtons magiques.,"Dex 13, Small size or smaller.",0,"You can create any staff whose prerequisites you meet. Crafting a staff takes 1 day for each 1,000 gp in its base price. To craft a staff, you must use up raw materials costing half of its base price. A newly created staff has 10 charges. See the magic item creation rules in Chapter 15 for more information.","Le personnage peut fabriquer un bâton magique. Le processus de fabrication prend un jour par tranche de 1000 po du prix de base de l’objet. Le personnage doit acheter les matières premières nécessaires (à la moitié de leur prix de base). À sa création, le bâton possède dix charges  (Voir la page sur la création d'objets magiques).",,0,0,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,Craft Wondrous Item,Création d'objets merveilleux,Item Creation,"You can create wondrous items, a type of magic item.","Le personnage sait fabriquer des objets merveilleux, un type d’objets magiques.","Minor Spell Expertise, ability to cast 9th-level spells.",0,"You can create a wide variety of magic wondrous items. Crafting a wondrous item takes 1 day for each 1,000 gp in its price. To create a wondrous item, you must use up raw materials costing half of its base price. See the magic item creation rules in Chapter 15 for more information. You can also mend a broken or destroyed wondrous item if it is one that you could make. Doing so costs half the raw materials and half the time it would take to craft that item.","Le personnage peut fabriquer une grande variété d’objets merveilleux. Le processus de fabrication prend un jour par tranche de 1000 po du prix de base de l’objet. Le personnage doit acheter les matières premières nécessaires à la moitié de leur prix de base (Voir la page sur la création d'objets magiques).
Le personnage peut réparer un objet s’il est capable de le fabriquer. La procédure à suivre reste la même, mais le temps passé et le coût en matières premières sont réduits de moitié.",Permet de créer des objets merveilleux,0,0,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
